machine,test,level,name,npe,real,comm_avg,speed
MareNostrum 5,mpi-laplacian,9,laplacian,32,0.141013,0.0254718,951810000.0
MareNostrum 5,mpi-laplacian,9,laplacian,64,0.0965286,0.0128643,1390440000.0
MareNostrum 5,mpi-laplacian,9,laplacian,112,0.096092,0.0205537,1396760000.0
MareNostrum 5,mpi-laplacian,9,laplacian,128,0.0506901,0.00878661,2647810000.0
MareNostrum 5,mpi-laplacian,9,laplacian,224,0.0506793,0.0123055,2648370000.0
MareNostrum 5,mpi-laplacian,9,laplacian,256,0.0333634,0.00671393,4022910000.0
MareNostrum 5,mpi-laplacian,9,laplacian,448,0.0269486,0.00752187,4980520000.0
MareNostrum 5,mpi-laplacian,9,laplacian,512,0.0204296,0.00489788,6569770000.0
MareNostrum 5,mpi-laplacian,9,laplacian,896,0.0145794,0.00480387,9205980000.0
MareNostrum 5,mpi-laplacian,9,laplacian,1024,0.0110597,0.00320858,12135800000.0
MareNostrum 5,mpi-laplacian,9,laplacian,1792,0.0078507,0.00288635,17096300000.0
MareNostrum 5,mpi-laplacian,9,laplacian,2048,0.00589482,0.0019599,22768700000.0
MareNostrum 5,mpi-laplacian,9,laplacian,3584,0.00358088,0.00158916,37481800000.0
MareNostrum 5,mpi-laplacian,9,laplacian,4096,0.00232167,0.000997174,57810800000.0
MareNostrum 5,mpi-laplacian,9,laplacian,8192,0.000873249,0.000575382,153699000000.0
MareNostrum 5,mpi-laplacian,9,laplacian,16384,0.000504965,0.000389533,265796000000.0
MareNostrum 5,mpi-laplacian,9,poisson,2,15.6323,0.363103,8585930.0
MareNostrum 5,mpi-laplacian,9,poisson,4,8.17245,0.395804,16423200.0
MareNostrum 5,mpi-laplacian,9,poisson,8,4.39581,0.352143,30533100.0
MareNostrum 5,mpi-laplacian,9,poisson,16,2.46887,0.279733,54364000.0
MareNostrum 5,mpi-laplacian,9,poisson,32,1.51994,0.175357,88304600.0
MareNostrum 5,mpi-laplacian,9,poisson,64,1.10651,0.158518,121298000.0
MareNostrum 5,mpi-laplacian,9,poisson,112,1.05273,0.192549,127495000.0
MareNostrum 5,mpi-laplacian,9,poisson,128,0.551339,0.0757194,243440000.0
MareNostrum 5,mpi-laplacian,9,poisson,224,0.560739,0.134231,239358000.0
MareNostrum 5,mpi-laplacian,9,poisson,256,0.36061,0.0656994,372196000.0
MareNostrum 5,mpi-laplacian,9,poisson,448,0.284437,0.0713793,471872000.0
MareNostrum 5,mpi-laplacian,9,poisson,512,0.218921,0.0534052,613088000.0
MareNostrum 5,mpi-laplacian,9,poisson,896,0.156635,0.0494447,856880000.0
MareNostrum 5,mpi-laplacian,9,poisson,1024,0.133327,0.048516,1006680000.0
MareNostrum 5,mpi-laplacian,9,poisson,1792,0.0898152,0.0358751,1494380000.0
MareNostrum 5,mpi-laplacian,9,poisson,2048,0.0673929,0.0235615,1991570000.0
MareNostrum 5,mpi-laplacian,9,poisson,3584,0.0595361,0.0339475,2254390000.0
MareNostrum 5,mpi-laplacian,9,poisson,4096,0.0475172,0.0282157,2824610000.0
MareNostrum 5,mpi-laplacian,9,poisson,8192,0.0775282,0.0591799,1731210000.0
MareNostrum 5,mpi-laplacian,9,poisson,16384,0.0869545,0.0699261,1543540000.0
MareNostrum 5,mpi-laplacian,9,refine,2,315.502,6.82725,425410.0
MareNostrum 5,mpi-laplacian,9,refine,4,46.1842,4.16025,2906140.0
MareNostrum 5,mpi-laplacian,9,refine,8,29.184,2.44651,4599020.0
MareNostrum 5,mpi-laplacian,9,refine,16,11.2644,1.96596,11915300.0
MareNostrum 5,mpi-laplacian,9,refine,32,4.9982,1.63567,26853200.0
MareNostrum 5,mpi-laplacian,9,refine,64,3.57372,1.81634,37556900.0
MareNostrum 5,mpi-laplacian,9,refine,112,6.49179,3.13927,20675000.0
MareNostrum 5,mpi-laplacian,9,refine,128,1.83711,0.996204,73059100.0
MareNostrum 5,mpi-laplacian,9,refine,224,3.70262,1.92505,36249400.0
MareNostrum 5,mpi-laplacian,9,refine,256,1.48427,1.02504,90426600.0
MareNostrum 5,mpi-laplacian,9,refine,448,3.01076,2.01844,44579400.0
MareNostrum 5,mpi-laplacian,9,refine,512,1.73667,1.42022,77284400.0
MareNostrum 5,mpi-laplacian,9,refine,896,3.88496,3.13756,34548000.0
MareNostrum 5,mpi-laplacian,9,refine,1024,3.15609,2.79416,42526500.0
MareNostrum 5,mpi-laplacian,9,refine,1792,8.03494,7.21244,16704300.0
MareNostrum 5,mpi-laplacian,9,refine,2048,6.49504,6.00293,20664700.0
MareNostrum 5,mpi-laplacian,9,refine,3584,19.9291,18.6586,6734750.0
MareNostrum 5,mpi-laplacian,9,refine,4096,20.03,19.1335,6700830.0
MareNostrum 5,mpi-laplacian,9,refine,8192,100.238,97.2718,1338990.0
MareNostrum 5,mpi-laplacian,9,refine,16384,242.133,237.087,554314.0
MareNostrum 5,mpi-laplacian,9,restriction,2,1.05448,0.0363497,127284000.0
MareNostrum 5,mpi-laplacian,9,restriction,4,0.556209,0.0415858,241308000.0
MareNostrum 5,mpi-laplacian,9,restriction,8,0.290688,0.0318147,461724000.0
MareNostrum 5,mpi-laplacian,9,restriction,16,0.166467,0.0310863,806271000.0
MareNostrum 5,mpi-laplacian,9,restriction,32,0.098962,0.0255477,1356260000.0
MareNostrum 5,mpi-laplacian,9,restriction,64,0.0488716,0.00633438,2746330000.0
MareNostrum 5,mpi-laplacian,9,restriction,112,0.0507424,0.0149136,2645080000.0
MareNostrum 5,mpi-laplacian,9,restriction,128,0.025251,0.00401765,5315340000.0
MareNostrum 5,mpi-laplacian,9,restriction,224,0.0296749,0.0116129,4522940000.0
MareNostrum 5,mpi-laplacian,9,restriction,256,0.0164516,0.00344795,8158310000.0
MareNostrum 5,mpi-laplacian,9,restriction,448,0.0138549,0.0046966,9687380000.0
MareNostrum 5,mpi-laplacian,9,restriction,512,0.0105134,0.00307253,12766300000.0
MareNostrum 5,mpi-laplacian,9,restriction,896,0.00776601,0.00329256,17282700000.0
MareNostrum 5,mpi-laplacian,9,restriction,1024,0.00608177,0.00251255,22068800000.0
MareNostrum 5,mpi-laplacian,9,restriction,1792,0.00480587,0.00264375,27927900000.0
MareNostrum 5,mpi-laplacian,9,restriction,2048,0.00403911,0.00232052,33229500000.0
MareNostrum 5,mpi-laplacian,9,restriction,3584,0.00233017,0.00191232,57600100000.0
MareNostrum 5,mpi-laplacian,9,restriction,4096,0.00140798,0.00120461,95326600000.0
MareNostrum 5,mpi-laplacian,9,restriction,8192,0.000507586,0.000456549,264424000000.0
MareNostrum 5,mpi-laplacian,9,restriction,16384,0.000241099,0.000225369,556691000000.0
MareNostrum 5,mpi-laplacian,9,sum,2,0.75505,0.0,177760000.0
MareNostrum 5,mpi-laplacian,9,sum,4,0.404301,0.0,331975000.0
MareNostrum 5,mpi-laplacian,9,sum,8,0.190482,0.0,704622000.0
MareNostrum 5,mpi-laplacian,9,sum,16,0.126293,0.0,1062750000.0
MareNostrum 5,mpi-laplacian,9,sum,32,0.0750494,0.0,1788390000.0
MareNostrum 5,mpi-laplacian,9,sum,64,0.0367873,0.0,3648480000.0
MareNostrum 5,mpi-laplacian,9,sum,112,0.0482718,0.0,2780460000.0
MareNostrum 5,mpi-laplacian,9,sum,128,0.0189204,0.0,7093810000.0
MareNostrum 5,mpi-laplacian,9,sum,224,0.0187803,0.0,7146740000.0
MareNostrum 5,mpi-laplacian,9,sum,256,0.0120926,0.0,11099200000.0
MareNostrum 5,mpi-laplacian,9,sum,448,0.0131815,0.0,10182300000.0
MareNostrum 5,mpi-laplacian,9,sum,512,0.00722882,0.0,18567000000.0
MareNostrum 5,mpi-laplacian,9,sum,896,0.00489489,0.0,27420000000.0
MareNostrum 5,mpi-laplacian,9,sum,1024,0.00389987,0.0,34415900000.0
MareNostrum 5,mpi-laplacian,9,sum,1792,0.00253668,0.0,52910800000.0
MareNostrum 5,mpi-laplacian,9,sum,2048,0.0022538,0.0,59551600000.0
MareNostrum 5,mpi-laplacian,9,sum,3584,0.00136357,0.0,98430900000.0
MareNostrum 5,mpi-laplacian,9,sum,4096,0.000724161,0.0,185342000000.0
MareNostrum 5,mpi-laplacian,9,sum,8192,0.00128368,0.0,104557000000.0
MareNostrum 5,mpi-laplacian,9,sum,16384,0.00113262,0.0,118502000000.0
MareNostrum 5,mpi-laplacian-2d,12,cos,2,0.223874,0.000279699,74940400.0
MareNostrum 5,mpi-laplacian-2d,12,cos,4,0.095895,0.00834061,174954000.0
MareNostrum 5,mpi-laplacian-2d,12,cos,8,0.034789,5.02028e-05,482256000.0
MareNostrum 5,mpi-laplacian-2d,12,cos,16,0.0178401,0.000248021,940420000.0
MareNostrum 5,mpi-laplacian-2d,12,cos,32,0.00955241,0.000197351,1756330000.0
MareNostrum 5,mpi-laplacian-2d,12,cos,64,0.0093168,0.0028636,1800750000.0
MareNostrum 5,mpi-laplacian-2d,12,cos,128,0.00337288,0.000202383,4974150000.0
MareNostrum 5,mpi-laplacian-2d,12,cos,256,0.00278987,0.000818449,6013630000.0
MareNostrum 5,mpi-laplacian-2d,12,cos,512,0.00142882,0.000695021,11742000000.0
MareNostrum 5,mpi-laplacian-2d,12,cos,1024,0.000593939,0.000286431,28247400000.0
MareNostrum 5,mpi-laplacian-2d,12,cos,2048,0.000239004,8.39721e-05,70196500000.0
MareNostrum 5,mpi-laplacian-2d,12,cos,4096,0.000206099,0.000126242,81403800000.0
MareNostrum 5,mpi-laplacian-2d,12,cos,8192,0.00127919,0.00123857,13115500000.0
MareNostrum 5,mpi-laplacian-2d,12,cos,16384,0.00129468,0.00127463,12958500000.0
MareNostrum 5,mpi-laplacian-2d,12,laplacian,2,0.0686635,0.00111234,244340000.0
MareNostrum 5,mpi-laplacian-2d,12,laplacian,4,0.059175,0.0106425,283519000.0
MareNostrum 5,mpi-laplacian-2d,12,laplacian,8,0.0187945,0.000392011,892666000.0
MareNostrum 5,mpi-laplacian-2d,12,laplacian,16,0.0112162,0.000366934,1495800000.0
